[2020-12-09 16:56:21]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:56:22]	RCC - prev: {"nu":57,"lrn":1,"rev":116}, current: {"nu":57,"lrn":1,"rev":115}
[2020-12-09 16:56:22]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:56:25]	RCC - prev: {"nu":57,"lrn":1,"rev":115}, current: {"nu":56,"lrn":2,"rev":115}
[2020-12-09 16:56:25]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-12-09 16:56:27]	RCC - prev: {"nu":56,"lrn":2,"rev":115}, current: {"nu":56,"lrn":2,"rev":114}
[2020-12-09 16:56:27]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:56:33]	RCC - prev: {"nu":56,"lrn":2,"rev":114}, current: {"nu":56,"lrn":2,"rev":113}
[2020-12-09 16:56:33]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:56:35]	RCC - prev: {"nu":56,"lrn":2,"rev":113}, current: {"nu":55,"lrn":2,"rev":113}
[2020-12-09 16:56:35]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 16:56:41]	RCC - prev: {"nu":55,"lrn":2,"rev":113}, current: {"nu":55,"lrn":2,"rev":112}
[2020-12-09 16:56:41]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:56:42]	RCC - prev: {"nu":55,"lrn":2,"rev":112}, current: {"nu":41,"lrn":2,"rev":111}
[2020-12-09 16:56:42]	 - Output instruction: {"instType":0}
[2020-12-09 16:56:46]	RCC - prev: {"nu":41,"lrn":2,"rev":111}, current: {"nu":41,"lrn":2,"rev":111}
[2020-12-09 16:56:46]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-12-09 16:57:04]	RCC - prev: {"nu":41,"lrn":2,"rev":111}, current: {"nu":43,"lrn":3,"rev":110}
[2020-12-09 16:57:04]	 - Output instruction: {"instType":0}
[2020-12-09 16:57:11]	RCC - prev: {"nu":43,"lrn":3,"rev":110}, current: {"nu":43,"lrn":3,"rev":110}
[2020-12-09 16:57:11]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-12-09 16:57:22]	RCC - prev: {"nu":43,"lrn":3,"rev":110}, current: {"nu":43,"lrn":4,"rev":110}
[2020-12-09 16:57:22]	 - Output instruction: {"instType":1,"dy":-1,"logType":"again"}
[2020-12-09 16:57:27]	RCC - prev: {"nu":43,"lrn":4,"rev":110}, current: {"nu":43,"lrn":4,"rev":110}
[2020-12-09 16:57:27]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-12-09 16:57:29]	RCC - prev: {"nu":43,"lrn":4,"rev":110}, current: {"nu":43,"lrn":4,"rev":109}
[2020-12-09 16:57:29]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:57:36]	RCC - prev: {"nu":43,"lrn":4,"rev":109}, current: {"nu":42,"lrn":4,"rev":108}
[2020-12-09 16:57:36]	 - Output instruction: {"instType":0}
[2020-12-09 16:57:36]	RCC - prev: {"nu":42,"lrn":4,"rev":108}, current: {"nu":42,"lrn":4,"rev":108}
[2020-12-09 16:57:36]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-12-09 16:57:41]	RCC - prev: {"nu":42,"lrn":4,"rev":108}, current: {"nu":42,"lrn":4,"rev":107}
[2020-12-09 16:57:41]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:57:42]	RCC - prev: {"nu":42,"lrn":4,"rev":107}, current: {"nu":42,"lrn":6,"rev":108}
[2020-12-09 16:57:42]	 - Output instruction: {"instType":1,"dy":-3,"logType":"unknown"}
[2020-12-09 16:58:23]	RCC - prev: {"nu":42,"lrn":6,"rev":108}, current: {"nu":42,"lrn":6,"rev":108}
[2020-12-09 16:58:23]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-12-09 16:58:27]	RCC - prev: {"nu":42,"lrn":6,"rev":108}, current: {"nu":42,"lrn":6,"rev":108}
[2020-12-09 16:58:27]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-12-09 16:58:49]	RCC - prev: {"nu":42,"lrn":6,"rev":108}, current: {"nu":42,"lrn":7,"rev":108}
[2020-12-09 16:58:49]	 - Output instruction: {"instType":1,"dy":-1,"logType":"again"}
[2020-12-09 16:58:51]	RCC - prev: {"nu":42,"lrn":7,"rev":108}, current: {"nu":42,"lrn":6,"rev":108}
[2020-12-09 16:58:51]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 16:58:53]	RCC - prev: {"nu":42,"lrn":6,"rev":108}, current: {"nu":42,"lrn":5,"rev":108}
[2020-12-09 16:58:53]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 16:58:58]	RCC - prev: {"nu":42,"lrn":5,"rev":108}, current: {"nu":42,"lrn":5,"rev":107}
[2020-12-09 16:58:58]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:59:00]	RCC - prev: {"nu":42,"lrn":5,"rev":107}, current: {"nu":41,"lrn":5,"rev":107}
[2020-12-09 16:59:00]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 16:59:02]	RCC - prev: {"nu":41,"lrn":5,"rev":107}, current: {"nu":41,"lrn":5,"rev":106}
[2020-12-09 16:59:02]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:59:08]	RCC - prev: {"nu":41,"lrn":5,"rev":106}, current: {"nu":41,"lrn":5,"rev":106}
